Year;Category;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;Always;16.3 ;14.3 ;10.8 ;12.9 ;16.4 ;15.0 ;18.0 ;19.5 
2015;Always;18.0 ;15.0 ;13.8 ;13.9 ;16.1 ;16.5 ;19.5 ;18.7 
2019;Always;13.7 ;15.9 ;13.0 ;13.1 ;16.5 ;15.4 ;14.5 ;16.1 
2011;Often;28.1 ;27.8 ;25.0 ;29.0 ;25.8 ;31.7 ;28.7 ;25.6 
2015;Often;28.5 ;29.1 ;30.1 ;28.8 ;28.5 ;27.8 ;27.7 ;31.3 
2019;Often;32.2 ;38.1 ;31.5 ;39.5 ;34.5 ;34.3 ;36.7 ;33.5 
2011;Sometimes;24.7 ;26.2 ;20.1 ;26.3 ;25.2 ;26.9 ;25.4 ;28.2 
2015;Sometimes;22.4 ;25.5 ;17.2 ;22.9 ;27.8 ;25.4 ;24.0 ;24.3 
2019;Sometimes;28.2 ;27.9 ;28.4 ;27.1 ;25.5 ;29.4 ;31.1 ;26.6 
2011;Rarely;18.9 ;16.8 ;23.7 ;19.1 ;18.7 ;14.2 ;16.2 ;15.6 
2015;Rarely;17.8 ;17.0 ;21.5 ;19.7 ;17.1 ;17.6 ;15.7 ;12.7 
2019;Rarely;15.9 ;11.7 ;16.1 ;12.0 ;15.3 ;14.4 ;11.5 ;13.7 
2011;Never;14.0 ;13.0 ;20.3 ;12.8 ;13.9 ;12.2 ;11.6 ;11.1 
2015;Never;13.2 ;13.4 ;17.4 ;14.7 ;10.6 ;12.6 ;13.0 ;12.9 
2019;Never;9.9 ;6.4 ;10.9 ;8.3 ;8.2 ;6.5 ;6.2 ;10.1 
