Year;Category;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;Always;34.7 ;42.2 ;28.0 ;32.3 ;36.6 ;39.9 ;48.5 ;49.8 
2015;Always;37.5 ;39.2 ;29.1 ;32.3 ;34.1 ;38.2 ;46.5 ;50.5 
2019;Always;25.6 ;30.9 ;27.3 ;27.2 ;25.2 ;26.3 ;30.1 ;36.8 
2011;Often;38.2 ;37.9 ;33.1 ;35.9 ;41.7 ;42.1 ;38.6 ;32.8 
2015;Often;40.4 ;43.5 ;37.5 ;43.8 ;46.4 ;43.5 ;39.0 ;39.4 
2019;Often;47.0 ;48.4 ;40.9 ;45.5 ;49.5 ;51.4 ;49.9 ;46.4 
2011;Sometimes;14.7 ;11.7 ;17.3 ;17.5 ;12.8 ;10.7 ;7.5 ;13.4 
2015;Sometimes;11.6 ;8.7 ;12.9 ;14.0 ;11.3 ;8.9 ;7.8 ;5.3 
2019;Sometimes;16.3 ;13.4 ;18.2 ;16.2 ;16.9 ;14.0 ;12.8 ;10.3 
2011;Rarely;6.8 ;4.6 ;11.9 ;8.5 ;5.7 ;3.4 ;2.8 ;1.7 
2015;Rarely;5.3 ;4.9 ;8.7 ;5.3 ;4.6 ;5.7 ;3.8 ;3.0 
2019;Rarely;7.5 ;5.0 ;9.4 ;9.3 ;4.9 ;6.2 ;4.9 ;2.6 
2011;Never;5.5 ;3.5 ;9.8 ;5.9 ;3.1 ;3.9 ;2.6 ;2.3 
2015;Never;5.2 ;3.8 ;11.8 ;4.7 ;3.6 ;3.7 ;2.8 ;1.8 
2019;Never;3.6 ;2.2 ;4.1 ;1.8 ;3.5 ;2.1 ;2.4 ;3.8 
