Nahrungsmittel (in 1000 t);2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total (pflanzlich / tierisch);6865.974465;7010.749174;7016.817432;7049.505759;7145.177487;7101.405694;7247.930461;7157.466032;7287.960485;7209.407823;7208.524314;7134.737984;7162.828023;7420.908278
Pflanzliche Nahrungsmittel;4259.657293;4385.254068;4428.481208;4399.253049;4444.995115;4430.15849;4509.973331;4417.524472;4542.087866;4488.840729;4508.263834;4449.94513;4503.097762;4674.677544
Getreideprodukte;759.519822;734.941515;768.002124;751.841934;808.56759;747.493964;740.811768;748.125495;776.66281;752.652358;769.605017;747.907234;772.963457;795.819858
Kartoffeln etc.;327.150729;371.909354;370.496412;387.461845;363.667652;401.577357;430.745115;360.909678;437.802015;409.610816;364.760695;399.814276;397.78586;415.015975
Stärken;31.580578;29.788762;26.906297;28.85676;32.127259;27.270028;25.890098;26.353281;28.988798;26.66943;29.015108;31.930754;26.831236;27.037961
Zucker;344.619348;351.339873;334.6693;309.993619;313.843475;305.867106;342.321075;324.736323;332.048129;321.132015;347.269532;292.905557;306.681045;320.617457
Hülsenfrüchte;7.325043;7.204311;6.930036;7.016411;7.239632;7.361792;7.646816;8.199601;9.510515;9.001275;10.493432;9.836715;9.831739;13.743725
Nüsse;62.21704;61.396225;60.081293;60.473986;62.5045;59.482006;67.319625;68.663279;67.369805;68.220964;71.227108;73.300191;73.962748;77.417967
Ölfrüchte;28.850457;30.759705;28.95714;28.938306;29.580075;28.082893;30.775661;30.554304;33.243695;32.858006;34.406015;34.521337;37.559285;38.736994
Gemüse;796.996796;826.871834;854.770783;854.604453;870.613305;866.201149;863.696206;868.052578;873.973738;869.690802;878.8559;887.316516;854.689969;926.949376
Früchte;917.955637;967.401025;980.984049;954.896012;942.080942;984.484501;978.994913;955.01958;965.25932;980.973489;978.357164;934.718418;967.68275;1013.171666
Stimulantien;98.842205;106.368421;91.826298;97.984214;97.027686;98.505482;101.509268;97.985018;104.065684;99.977526;99.375025;106.775209;105.29171;105.286885
Gewürze;4.601315;4.168424;4.253806;5.483876;5.606955;6.269802;5.321665;5.963527;5.832153;5.625264;6.777192;8.506337;9.527416;11.66087
Alkoholhaltige Getränke;752.971248;763.786178;757.454235;768.22522;767.149895;763.402279;766.332272;764.27418;761.312918;750.46974;754.298524;760.096878;779.808688;745.088231
Pflanzliche Fette, Öle;117.922259;118.686306;126.537391;127.046009;130.491489;121.50829;133.478691;138.197472;129.506425;138.080913;139.411889;141.271862;136.67693;156.449315
Verschiedenes ;9.104816;10.632135;16.612044;16.430404;14.49466;12.651841;15.130158;20.490156;16.511861;23.878131;24.411233;21.043846;23.804929;27.681264
Tierische Nahrungsmittel;2606.317172;2625.495106;2588.336224;2650.25271;2700.182372;2671.247204;2737.95713;2739.94156;2745.872619;2720.567094;2700.26048;2684.792854;2659.730261;2746.230734
Fleisch;399.892189;411.459255;404.089565;417.644752;420.44134;409.347353;414.947169;421.157033;418.05323;416.958533;414.617734;414.169818;411.721954;416.274162
Eier;90.127299;92.388765;94.309433;96.677135;92.716929;93.495936;95.443005;97.720544;99.825535;101.071691;102.822742;104.341189;107.30928;113.400168
Fische, Schalentiere;57.010758;58.997307;61.382569;62.60252;62.932562;61.029216;65.998258;63.772643;65.230413;66.473416;63.81689;64.068428;63.201961;66.764796
Milch, Milchprodukte;2012.732991;2015.884635;1984.211842;2027.236068;2076.5185;2060.241026;2111.861918;2108.789758;2115.034819;2088.852072;2073.764347;2057.123384;2029.098949;2097.678106
Tierische Fette;46.553935;46.765144;44.342815;46.092235;47.573041;47.133673;49.70678;48.501582;47.728622;47.211382;45.238767;45.090035;48.398117;52.113502
